location 	rooms 	housetype 	area 	price 	unitprice 	year 	floor 	elevator 	condition 	lot 	energy
Länsi-pakila 	4h, k, s 	ok 	101,00 	270000 	2673 	1951 	2/2 	ei 	tyyd. 	oma 	F
Etelä-haaga 	4-5 h, k, kph, ... 	kt 	109,00 	550000 	5046 	1961 	3/3 	ei 	hyvä 	oma 	D2007
Siltamäki 	4H+K+S+VH+2KPH 	kt 	114,50 	225000 	1965 	1970 	2/2 	ei 	hyvä 	oma 	
Torpparinmäki 	6 h, k, kh/s, k... 	ok 	178,00 	562000 	3157 	2012 	1/2 	ei 	hyvä 	oma 	A2007
Punavuori 	Toimisto 149,0m... 	kt 	197,00 	700000 	3553 	1902 	5/5 	on 	tyyd. 	oma 	E2013
Vuosaari 	4h, k, kph, par... 	kt 	82,00 	180000 	2195 	1964 	2/3 	ei 	tyyd. 	oma 	
Vuosaari 	4-5h, k, kph, w... 	rt 	99,50 	250000 	2513 	1965 	-1/2 	ei 	tyyd. 	oma 	F2007
	6h+k (4mh+k+oh+... 	ok 	280,00 	1000000 	3571 	1991 	2/2 	ei 	hyvä 	oma 	D2018
	6h+k+s+aputilat... 	ok 	125,00 	396000 	3168 	1977 	1/2 	ei 	hyvä 	oma 	
	4h, k, erill wc... 	ok 	119,00 	410000 	3445 	2013 	1/2 	ei 	hyvä 	vuokra 	
	5h,2kph,s,3wc,k... 	ok 	148,40 	948000 	6388 	2005 	1/4 	ei 	hyvä 	oma 	D2007
	5 h, k, rt, 2 k... 	ok 	165,00 	407000 	2467 	1984 	1/1 	ei 	hyvä 	oma 	
	5 h, k, rt, kph... 	ok 	150,00 	590000 	3933 	2003 	2/2 	ei 	hyvä 	oma 	
	4h,k,kph,sauna,... 	ok 	127,00 	327000 	2575 	1982 	1/1 	ei 	tyyd. 	oma 	
	4h+k+s-tilat+wc... 	ok 	89,00 	300000 	3371 	1984 	-1/1 	ei 	hyvä 	oma 	
	5h,k,s,at+2h,ks... 	ok 	173,00 	640000 	3699 	2003 	-1/3 	ei 	tyyd. 	oma 	B2018
	5-6h, k, wc, kp... 	ok 	170,00 	325000 	1912 	1967 	  	ei 	  	vuokra 	
	4H+K 	ok 	211,90 	750000 	3539 	1929 	1/2 	ei 	tyyd. 	oma 	
	ak: et, oh, k, ... 	ok 	165,00 	430000 	2606 	1958 	1/3 	ei 	tyyd. 	oma 	E2018
	Oh/rt/k, 3mh, s... 	ok 	132,00 	405000 	3068 	2014 	-1/2 	ei 	hyvä 	vuokra 	A2007
	As 1. 2-4h,k,kp... 	ok 	163,00 	775000 	4755 	1961 	-1/2 	ei 	tyyd. 	oma 	
	5-6h, k, s, khh... 	ok 	160,00 	425000 	2656 	1958 	  	ei 	hyvä 	oma 	
	4h, k, saunaos,... 	ok 	116,00 	395000 	3405 	1999 	1/3 	ei 	hyvä 	vuokra 	D2018
	Oh, avok, 4mh, ... 	ok 	143,00 	417000 	2916 	2005 	-1/2 	ei 	hyvä 	oma 	C2018
	6-8h, k, rt, vh... 	ok 	228,00 	740000 	3246 	2006 	-1/4 	ei 	hyvä 	oma 	D
	4mh, oh, k, eri... 	ok 	123,00 	396500 	3224 	2016 	-1/2 	ei 	hyvä 	vuokra 	B
	4h, k, s, kph, ... 	ok 	92,50 	371000 	4011 	1987 	-1/2 	ei 	tyyd. 	oma 	E2013
	6-7h, k, rt, 2 ... 	ok 	225,00 	698000 	3102 	1994 	-1/2 	ei 	hyvä 	oma 	D2018
	5h+k+kph/s+wc(2... 	ok 	115,00 	425000 	3696 	1923 	  	ei 	tyyd. 	vuokra 	
	5h+k 	ok 	220,00 	515000 	2341 	1938 	-1/2 	ei 	tyyd. 	vuokra 	
	5h+k+kph+wc+kel... 	ok 	132,00 	590000 	4470 	1919 	-1/2 	ei 	tyyd. 	oma 	
	4 h, k, rt, s, ... 	ok 	134,00 	360000 	2687 	1965 	1/2 	ei 	tyyd. 	oma 	E2018
	7 h, k, halli, ... 	ok 	162,00 	525000 	3241 	1936 	1/3 	ei 	tyyd. 	vuokra 	
	5h, oh, k, s, k... 	ok 	155,00 	450000 	2903 	2016 	  	ei 	hyvä 	vuokra 	B2013
Maununneva	5 h, k, wc x 2 	ok 	130,00 	315000 	2423 	1954 	3/3 	ei 	tyyd. 	oma 	
Alppiharju 	4h, k, kph, vh, p 	kt 	85,50 	400000 	4678 	1961 	1/8 	on 	hyvä 	oma 	
Kuninkaantammi 	4h, kt, s 	kt 	87,00 	340000 	3908 	2019 	2/4 	on 	hyvä 	  	C2013
Sörnäinen 	6h+k+s+var.+2 p... 	kt 	128,00 	835000 	6523 	2002 	8/9 	on 	hyvä 	oma 	F2013
Hakuninmaa 	5h, k, ph, s, k... 	ok 	130,00 	317000 	2438 	1988 	-1/1 	ei 	tyyd. 	vuokra 	D2018
Taka-töölö 	3h, halli, k, p... 	kt 	110,70 	673500 	6084 	1939 	3/6 	on 	hyvä 	oma 	E2007
Tapaninkylä 	5h, k, s, tkh, ... 	ok 	131,50 	395000 	3004 	1950 	-1/3 	ei 	hyvä 	oma 	F2018
Paloheinä 	6 h, avok, wc/p... 	ok 	140,00 	360000 	2571 	1950 	-1/2 	ei 	tyyd. 	oma 	
Tapaninvainio 	4 - 5 h, k, s, khh 	rt 	145,00 	430000 	2966 	2006 	1/2 	ei 	hyvä 	oma 	
Veräjämäki 	4 h, avokeitti&... 	rt 	89,00 	334000 	3753 	1983 	1/2 	ei 	tyyd. 	vuokra 	E2013
Länsi-pakila 	4 h, k, s, auto... 	rt 	91,50 	305000 	3333 	1977 	1/1 	ei 	huono 	oma 	
Etelä-haaga 	4-5h+k+kph+wc+l... 	kt 	105,00 	518000 	4933 	1960 	2/4 	on 	hyvä 	oma 	F2007
Tapaninkylä 	3-4h, k, s, 2xk... 	rt 	75,00 	315000 	4200 	2004 	1/2 	ei 	hyvä 	oma 	
Tapaninkylä 	4h+sauna+pesuhu... 	rt 	82,00 	275000 	3354 	1976 	1/1 	ei 	tyyd. 	oma 	
Jätkäsaari 	4h, kt, s 	kt 	92,00 	441600 	4800 	2021 	2/7 	on 	hyvä 	vuokra 	B2018
Landbo 	5h+k+kph+s+2 er... 	ok 	220,00 	435000 	1977 	1998 	1/2 	ei 	hyvä 	oma 	
Lassila 	4 h, k, s, kell... 	kt 	117,00 	355000 	3034 	1981 	1/4 	ei 	tyyd. 	oma 	D2013
Aurinkolahti 	4h, k, s, eril.... 	kt 	102,00 	418000 	4098 	2006 	3/7 	on 	hyvä 	oma 	D
Tammisalo 	6h, k, 2xkph 	ok 	145,00 	850000 	5862 	2013 	2/2 	ei 	hyvä 	oma 	
Lauttasaari 	5(6h)h+kt+ty... 	kt 	204,50 	2350000 	11491 	2015 	-1/3 	on 	hyvä 	oma 	A2007
Tapulikaupunki 	4h+k+s 	rt 	89,50 	195000 	2179 	1991 	1/2 	ei 	tyyd. 	vuokra 	
Puotinharju 	4h, k, saunaos,... 	rt 	105,00 	245000 	2333 	1963 	1/3 	ei 	tyyd. 	vuokra 	
Kulosaari 	Oh, rt, 3mh, kp... 	rt 	140,00 	715000 	5107 	1980 	-1/2 	ei 	hyvä 	oma 	
Munkkiniemi 	5h, k, kph, wc,... 	rt 	210,00 	695000 	3310 	1972 	3/3 	ei 	hyvä 	oma 	F2007
Maunula 	3-4h,k,kph,p 	kt 	71,60 	290000 	4050 	1953 	3/3 	ei 	huono 	vuokra 	E2007
Heikinlaakso 	4h, k, kph, s, ... 	rt 	86,00 	284000 	3302 	1980 	1/1 	ei 	hyvä 	oma 	E2018
Malminkartano 	4h, k, vh, eril... 	kt 	90,00 	290000 	3222 	2003 	2/4 	on 	hyvä 	vuokra 	F2013
